MAVLink 2 参数协议读写记录
开始时间: 2026-07-07 15:57:05
监听端口: UDP 14551
========================================================================
[输出] 日志文件: my_param_log.txt
[连接] 正在监听: udpin:0.0.0.0:14551
[连接] 等待 HEARTBEAT（请确认 SITL 已启动且 --out 包含 14551）...
[连接] 已收到心跳 | target_system=1, target_component=0
[参数] 发送 param_request_list() 请求全部参数...
[参数] 飞控报告参数总数: 1339
[参数] 实际收到 1339 个参数
[参数] 全部参数列表（按名称排序）：
------------------------------------------------------------------------
    序号  参数名                          值    类型
------------------------------------------------------------------------
     1  ACRO_BAL_PITCH               1     9
     2  ACRO_BAL_ROLL                1     9
     3  ACRO_OPTIONS                 0     2
     4  ACRO_RP_EXPO               0.3     9
     5  ACRO_RP_RATE               360     9
     6  ACRO_RP_RATE_TC              0     9
     7  ACRO_THR_MID                 0     9
     8  ACRO_TRAINER                 2     2
     9  ACRO_Y_EXPO                  0     9
    10  ACRO_Y_RATE              202.5     9
    11  ACRO_Y_RATE_TC               0     9
    12  ADSB_TYPE                    0     2
    13  AHRS_COMP_BETA             0.1     9
    14  AHRS_EKF_TYPE                3     2
    15  AHRS_GPS_GAIN                1     9
    16  AHRS_GPS_MINSATS             6     2
    17  AHRS_GPS_USE                 1     2
    18  AHRS_ORIENTATION             0     2
    19  AHRS_RP_P                  0.2     9
    20  AHRS_TRIM_X                  0     9
    21  AHRS_TRIM_Y                  0     9
    22  AHRS_TRIM_Z                  0     9
    23  AHRS_WIND_MAX                0     2
    24  AHRS_YAW_P                 0.2     9
    25  ANGLE_MAX                 3000     4
    26  ARMING_ACCTHRESH          0.75     9
    27  ARMING_CHECK                 1     6
    28  ARMING_MIS_ITEMS             0     6
    29  ARMING_OPTIONS               0     6
    30  ARMING_RUDDER                2     2
    31  ARSPD_ENABLE                 0     2
    32  ATC_ACCEL_P_MAX         110000     9
    33  ATC_ACCEL_R_MAX         110000     9
    34  ATC_ACCEL_Y_MAX          27000     9
    35  ATC_ANGLE_BOOST              1     2
    36  ATC_ANG_LIM_TC               1     9
    37  ATC_ANG_PIT_P              4.5     9
    38  ATC_ANG_RLL_P              4.5     9
    39  ATC_ANG_YAW_P              4.5     9
    40  ATC_INPUT_TC              0.15     9
    41  ATC_RATE_FF_ENAB             1     2
    42  ATC_RATE_P_MAX               0     9
    43  ATC_RATE_R_MAX               0     9
    44  ATC_RATE_Y_MAX               0     9
    45  ATC_RAT_PIT_D           0.0036     9
    46  ATC_RAT_PIT_FF               0     9
    47  ATC_RAT_PIT_FLTD            20     9
    48  ATC_RAT_PIT_FLTE             0     9
    49  ATC_RAT_PIT_FLTT            20     9
    50  ATC_RAT_PIT_I            0.135     9
    51  ATC_RAT_PIT_IMAX           0.5     9
    52  ATC_RAT_PIT_P            0.135     9
    53  ATC_RAT_PIT_SMAX             0     9
    54  ATC_RAT_RLL_D           0.0036     9
    55  ATC_RAT_RLL_FF               0     9
    56  ATC_RAT_RLL_FLTD            20     9
    57  ATC_RAT_RLL_FLTE             0     9
    58  ATC_RAT_RLL_FLTT            20     9
    59  ATC_RAT_RLL_I            0.135     9
    60  ATC_RAT_RLL_IMAX           0.5     9
    61  ATC_RAT_RLL_P            0.135     9
    62  ATC_RAT_RLL_SMAX             0     9
    63  ATC_RAT_YAW_D                0     9
    64  ATC_RAT_YAW_FF               0     9
    65  ATC_RAT_YAW_FLTD             0     9
    66  ATC_RAT_YAW_FLTE           2.5     9
    67  ATC_RAT_YAW_FLTT            20     9
    68  ATC_RAT_YAW_I            0.009     9
    69  ATC_RAT_YAW_IMAX           0.5     9
    70  ATC_RAT_YAW_P             0.09     9
    71  ATC_RAT_YAW_SMAX             0     9
    72  ATC_SLEW_YAW              6000     9
    73  ATC_THR_G_BOOST              0     9
    74  ATC_THR_MIX_MAN            0.1     9
    75  ATC_THR_MIX_MAX            0.5     9
